Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Has_Outlier,Job Title_Encoded,Industry_Encoded,Job Status_Encoded,AI Impact Level_Encoded,Required Education_Encoded,Location_Encoded,Median Salary (USD)_Normalized,Experience Required (Years)_Normalized,Job Openings (2024)_Normalized,Projected Openings (2030)_Normalized,Remote Work Ratio (%)_Normalized,Automation Risk (%)_Normalized,Gender Diversity (%)_Normalized
Investment analyst,IT,Increasing,Moderate,42109.76,Master’s Degree,5,1515,6342,55.96,28.28,UK,44.63,False,328,4,1,2,3,6,-1.395181516967685,-0.8334905604351075,-1.2319775203278964,0.44227475918531134,0.2114038958642619,-0.7607260791584105,-0.3096875919473584
"Journalist, newspaper",Manufacturing,Increasing,Moderate,132298.57,Master’s Degree,15,1243,6205,16.81,89.71,USA,66.39,False,334,5,1,2,3,7,1.2257145836724055,0.816517477748987,-1.3270504373638936,0.3944813319338356,-1.1401711371942143,1.3756418966261765,0.9499815423312344
Financial planner,Finance,Increasing,Low,143279.19,Bachelor’s Degree,4,3338,1154,91.82,72.97,Canada,41.13,False,249,2,1,1,1,2,1.544812530974411,-0.9984913642535169,-0.5947792565167832,-1.3675960479727616,1.4493982939607353,0.7934703206106469,-0.5122998148322424
Legal secretary,Healthcare,Increasing,High,97576.13,Associate Degree,15,7173,4060,1.89,99.94,Australia,65.76,False,344,3,1,0,0,0,0.21667690371289045,0.816517477748987,0.7456789671341326,-0.35381721882832057,-1.6552541382984913,1.7314134153023337,0.9135113422119555
Aeronautical engineer,IT,Increasing,Low,60956.63,Master’s Degree,13,5944,7396,53.76,37.65,Germany,72.57,False,24,4,1,1,3,4,-0.8474895350879964,0.48651587011216807,0.31610317655604253,0.8099701776017741,0.13545331929392598,-0.43486301659774673,1.3077368387394006
Legal secretary,Education,Decreasing,Low,39123.32,Master’s Degree,20,6985,7832,77.5,28.99,USA,46.91,False,344,0,0,1,3,7,-1.4819677707257246,1.6415214968410343,0.679966803888664,0.9620718876867624,0.9550290864665497,-0.7360342142258524,-0.17770020103949147
"Surveyor, insurance",Manufacturing,Decreasing,High,147150.03,High School,7,9738,4360,30.51,7.08,UK,20.14,False,571,5,0,0,2,6,1.657299539753013,-0.5034889527982885,1.6422305560949146,-0.24916007886158545,-0.6672061830971228,-1.4980042996798701,-1.727394260076161
Dentist,Entertainment,Decreasing,High,64245.48,Associate Degree,0,1393,8206,9.74,2.49,Canada,59.27,False,154,1,0,0,0,2,-0.7519152156065644,-1.6584945795271546,-1.274620519880807,1.092544455511959,-1.384248671899793,-1.6576319898776763,0.537810391776842
Emergency planning/management officer,Education,Increasing,High,72488.15,High School,12,7729,4452,38.77,99.56,Australia,60.56,False,192,0,1,0,2,0,-0.5123823770885372,0.32151506629375864,0.9400191946047739,-0.21706522260512,-0.38204629106486193,1.7181980509722323,0.6124874682115563
Visual merchandiser,Manufacturing,Decreasing,Moderate,95840.3,Associate Degree,16,1127,2375,4.29,69.03,China,48.19,False,628,5,0,2,0,3,0.16623350526496666,0.9815182815673964,-1.3675962402174806,-0.9416414883081495,-1.572398963858125,0.6564478588722249,-0.10360201667016242
Emergency planning/management officer,Manufacturing,Increasing,Moderate,97133.62,Bachelor’s Degree,17,4627,1684,89.49,43.94,China,34.83,False,192,5,1,2,1,3,0.20381751757070418,1.1465190853858058,-0.14423149894545842,-1.1827017673648628,1.3689597287748798,-0.21611395966001187,-0.8770018160250338
Housing manager/officer,Entertainment,Decreasing,High,114672.3,High School,12,2800,7964,94.02,20.19,UK,31.9,False,303,1,0,0,2,6,0.7134933634142668,0.32151506629375864,-0.7828278938894541,1.0081210292721259,1.5253488705310712,-1.0420742302913637,-1.046617191182951
"Geologist, wellsite",Entertainment,Increasing,Moderate,116427.68,PhD,7,1852,3700,32.89,5.54,Australia,56.02,False,274,1,1,2,4,0,0.7645048868742346,-0.5034889527982885,-1.1141849723825619,-0.47940578678840273,-0.5850414684437596,-1.5515613024913346,0.3496704705265926
"Runner, broadcasting/film/video",Healthcare,Decreasing,Moderate,43059.04,PhD,2,1824,7625,55.6,13.12,Australia,27.5,False,519,3,0,2,4,0,-1.3675953424698108,-1.3284929718903358,-1.123971890312738,0.8898584611097152,0.19897561969820696,-1.28794956138036,-1.3013296999525192
Press photographer,Entertainment,Decreasing,Moderate,137894.14,Master’s Degree,3,8312,9700,59.95,95.76,India,56.06,False,446,1,0,2,3,5,1.3883224237565432,-1.1634921680719263,1.1437968072223708,1.6137370125463,0.349150623371371,1.5860444076712161,0.3519860387881341
"Biochemist, clinical",Entertainment,Increasing,Moderate,67908.84,Master’s Degree,2,1872,5314,93.9,3.19,China,74.67,False,62,1,1,2,3,3,-0.6454575969813616,-1.3284929718903358,-1.1071943167181502,0.08364962623263228,1.5212061118090532,-1.6332878976906473,1.4293041724703315
Town planner,Retail,Decreasing,High,107318.63,Associate Degree,11,7251,1090,15.25,55.15,UK,23.99,False,616,6,0,0,0,6,0.4997949563902246,0.1565142624753492,0.7729425242253377,-1.3899229044989985,-1.194027000580452,0.17373928807798628,-1.5045208149027887
"Engineer, civil (consulting)",Healthcare,Decreasing,Moderate,101322.09,Associate Degree,17,1044,8832,12.92,64.18,India,56.12,False,202,3,0,2,0,5,0.32553488683910903,1.1465190853858058,-1.3966074612247887,1.310929020909213,-1.2744655657663078,0.4877780772906648,0.3554593911804461
Audiological scientist,Transportation,Increasing,Low,109546.76,Master’s Degree,8,5379,8913,82.13,80.62,UK,38.87,False,55,7,1,1,3,6,0.5645446435046148,-0.33848814897987917,0.11861715403641607,1.3391864487002314,1.1148705271577564,1.0595164709403246,-0.6431294216093392
